Version,Date,URL
v8.85,2025-10-13,https://www.dbf2002.com/help/command_line_options.htm
v8.84,2025-10-02,https://www.dbf2002.com/help/command_line_options.htm
v8.83,2025-09-23,https://www.dbf2002.com/help/command_line_options.htm
v8.81,2025-09-08,https://www.dbf2002.com/help/command_line_options.htm
v8.80,2025-08-26,https://www.dbf2002.com/help/command_line_options.htm
v8.79,2025-08-12,https://www.dbf2002.com/help/command_line_options.htm
v8.77,2025-07-28,https://www.dbf2002.com/help/command_line_options.htm
v8.75,2025-07-08,https://www.dbf2002.com/help/command_line_options.htm
v8.70,2025-06-10,https://www.dbf2002.com/help/command_line_options.htm
v8.69,2025-05-27,https://www.dbf2002.com/help/command_line_options.htm
v8.67,2025-05-13,https://www.dbf2002.com/help/command_line_options.htm
v8.65,2025-04-22,https://www.dbf2002.com/help/command_line_options.htm
v8.60,2025-03-27,https://www.dbf2002.com/help/command_line_options.htm
v8.59,2025-03-13,https://www.dbf2002.com/help/command_line_options.htm
v8.57,2025-02-26,https://www.dbf2002.com/help/command_line_options.htm
v8.55,2025-01-15,https://www.dbf2002.com/help/command_line_options.htm
v8.54,2024-12-09,https://www.dbf2002.com/help/command_line_options.htm
v8.52,2024-11-12,https://www.dbf2002.com/help/command_line_options.htm
v8.51,2024-10-28,https://www.dbf2002.com/help/command_line_options.htm
v8.50,2024-10-15,https://www.dbf2002.com/help/command_line_options.htm
v8.48,2024-09-30,https://www.dbf2002.com/help/command_line_options.htm
v8.47,2024-09-11,https://www.dbf2002.com/help/command_line_options.htm
v8.45,2024-08-27,https://www.dbf2002.com/help/command_line_options.htm
v8.42,2024-08-12,https://www.dbf2002.com/help/command_line_options.htm
v8.40,2024-07-26,https://www.dbf2002.com/help/command_line_options.htm
v8.38,2024-07-15,https://www.dbf2002.com/help/command_line_options.htm
v8.37,2024-06-18,https://www.dbf2002.com/help/command_line_options.htm
v8.35,2024-05-14,https://www.dbf2002.com/help/command_line_options.htm
v8.34,2024-04-24,https://www.dbf2002.com/help/command_line_options.htm
v8.32,2024-03-22,https://www.dbf2002.com/help/command_line_options.htm
v8.30,2024-01-23,https://www.dbf2002.com/help/command_line_options.htm
v8.28,2023-12-12,https://www.dbf2002.com/help/command_line_options.htm
v8.26,2023-11-14,https://www.dbf2002.com/help/command_line_options.htm
v8.24,2023-10-18,https://www.dbf2002.com/help/command_line_options.htm
v8.22,2023-09-19,https://www.dbf2002.com/help/command_line_options.htm
v8.20,2023-08-22,https://www.dbf2002.com/dbfv-20220823.html
v8.19,2023-07-27,https://www.dbf2002.com/dbfv-20220823.html
v8.18,2023-07-13,https://www.dbf2002.com/dbfv-20220823.html
v8.17,2023-06-21,https://www.dbf2002.com/dbfv-20220823.html
v8.15,2023-05-24,https://www.dbf2002.com/dbfv-20220823.html
v8.1,2023-05-04,https://www.dbf2002.com/dbfv-20220823.html
v8.01,2023-04-14,https://www.dbf2002.com/dbfv-20220823.html
v8.0,2023-02-15,https://www.dbf2002.com/dbfv-20220823.html
v7.97,2023-01-11,https://www.dbf2002.com/dbfv-20220823.html
v7.95,2022-12-09,https://www.dbf2002.com/dbfv-20220823.html
v7.86,2022-10-17,https://www.dbf2002.com/dbfv-20220823.html
v7.85,2022-09-26,https://www.dbf2002.com/dbfv-20220823.html
v7.75,2022-08-22,https://www.dbf2002.com/dbfv-20220823.html
v7.69,2022-07-27,https://www.dbf2002.com/dbf-20220427.html
v7.67,2022-05-26,https://www.dbf2002.com/dbf-20220427.html
v7.65,2022-04-15,https://www.dbf2002.com/dbf-20220427.html
v7.59,2022-02-07,https://www.dbf2002.com/dbf-20211115.html
v7.58,2022-01-13,https://www.dbf2002.com/dbf-20211115.html
v7.57,2021-12-10,https://www.dbf2002.com/dbf-20211115.html
v7.55,2021-11-15,https://www.dbf2002.com/dbf-20211115.html
