,SDK Installer,SDK Binaries,Runtime Installer,Runtime Binaries,ASP.NET Core Runtime,Windows Desktop Runtime,Scraped Date,Package name,Version
Download Table,,,,,,,,,
,,,,,,,14-10-2025,Microsoft.Extensions.Configuration.Ini,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Diagnostics.Abstractions,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.DependencyInjection.Specification.Tests,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.FileProviders.Physical,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Diagnostics,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Options.DataAnnotations,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Primitives,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.MonoAOTCompiler.Task.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.MonoAOTCompiler.Task.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.MonoTargets.Sdk.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.wasm.Sample.Mono,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Workload.Mono.ToolChain.Current.Manifest-8.0.100.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.WebAssembly.Threading,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Workload.Mono.ToolChain.net6.Manifest-8.0.100.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Workload.Mono.ToolChain.Current.Manifest-8.0.100.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Workload.Mono.ToolChain.net6.Manifest-8.0.100,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Crossgen2.linux-musl-arm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Crossgen2.linux-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Crossgen2.osx-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.linux-x64.Cross.android-arm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.android-x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.iossimulator-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.maccatalyst-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.android-arm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.maccatalyst-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.tvossimulator-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64.Msi.x64,8.0.0
