Link Text,URL
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-linux-arm64-binaries
Arm64 Alpine,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-linux-arm64-alpine-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-linux-x64-binaries
x64 Alpine,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-linux-x64-alpine-binaries
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-macos-arm64-installer
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-macos-x64-installer
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-macos-arm64-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-macos-x64-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-windows-x64-installer
x86,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-windows-x86-installer
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-windows-arm64-installer
winget instructions,https://learn.microsoft.com/dotnet/core/install/windows?WT.mc_id=dotnet-35129-website#install-with-windows-package-manager-winget
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-windows-x64-binaries
x86,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-windows-x86-binaries
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.317-windows-arm64-binaries
dotnet-install scripts,https://dotnet.microsoft.com/en-us/download/dotnet/scripts
Package manager instructions,https://learn.microsoft.com/dotnet/core/install/linux?WT.mc_id=dotnet-35129-website
Arm32,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-linux-arm32-binaries
Arm32 Alpine,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-linux-arm32-alpine-binaries
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-linux-arm64-binaries
Arm64 Alpine,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-linux-arm64-alpine-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-linux-x64-binaries
x64 Alpine,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-linux-x64-alpine-binaries
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-macos-arm64-installer
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-macos-x64-installer
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-macos-arm64-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-macos-x64-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-windows-x64-installer
x86,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-windows-x86-installer
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-windows-arm64-installer
winget instructions,https://learn.microsoft.com/dotnet/core/install/windows?WT.mc_id=dotnet-35129-website#install-with-windows-package-manager-winget
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-windows-x64-binaries
x86,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-windows-x86-binaries
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.120-windows-arm64-binaries
dotnet-install scripts,https://dotnet.microsoft.com/en-us/download/dotnet/scripts
Package manager instructions,https://learn.microsoft.com/dotnet/core/install/linux?WT.mc_id=dotnet-35129-website
Arm32,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-linux-arm32-binaries
Arm32 Alpine,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-linux-arm32-alpine-binaries
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-linux-arm64-binaries
Arm64 Alpine,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-linux-arm64-alpine-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-linux-x64-binaries
x64 Alpine,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-linux-x64-alpine-binaries
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-macos-arm64-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-macos-x64-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-windows-x64-installer
x86,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-windows-x86-installer
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-windows-arm64-installer
Hosting Bundle,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-windows-hosting-bundle-installer
winget instructions,https://learn.microsoft.com/dotnet/core/install/windows?WT.mc_id=dotnet-35129-website#install-with-windows-package-manager-winget
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-windows-x64-binaries
x86,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-windows-x86-binaries
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-aspnetcore-8.0.20-windows-arm64-binaries
